datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windspeed,windspeedmax,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,uvindex,description
2023-01-01,26,14.8,20.1,26,14.8,20.1,10.6,56.7,0,0,0,,36.2,36.2,0.5,75.5,1022.6,51.6,10.3,10,Partly cloudy throughout the day.
2023-01-02,23,14.8,18.5,23,14.8,18.5,11.8,66.2,0,0,0,rain,36.5,36.5,1.3,75.5,1022.2,66.4,10.3,8,Partly cloudy throughout the day.
2023-01-03,22.1,16,18.5,22.1,16,18.5,14,76.1,0,0,0,rain,38.3,38.3,1.7,73,1022.5,75.1,10,8,Partly cloudy throughout the day.
2023-01-04,21.1,16,17.9,21.1,16,17.9,14.2,80.1,0,0,0,rain,27.7,27.7,1.1,68.3,1022.4,83.6,10.1,6,Partly cloudy throughout the day.
2023-01-05,24,14.9,18.6,24,14.9,18.6,11.3,65.5,0,0,0,,31.7,31.7,1.1,54.1,1022,70.8,10.1,9,Partly cloudy throughout the day.
2023-01-06,26.1,12,20.2,26.1,12,20.2,8.6,50.2,0,0,0,,27.5,27.5,0,67.7,1022.1,23.5,10.3,10,Partly cloudy throughout the day.
2023-01-07,26.1,14,20.4,26.1,14,20.4,10,54.2,0,0,0,,37.6,37.6,0.2,61.4,1021.4,24.6,10.3,10,Partly cloudy throughout the day.
2023-01-08,27,15.9,20.9,26.8,15.9,20.9,12.2,59.2,0,0,0,rain,32.8,32.8,0.6,61.2,1020.7,46.6,10.4,9,Partly cloudy throughout the day.
2023-01-09,26.1,16.1,20.5,26.1,16.1,20.5,13.4,66.4,0,0,0,rain,29.5,29.5,1.1,61.9,1021.5,71.1,10.3,9,Partly cloudy throughout the day.
2023-01-10,25,16.1,20.6,25,16.1,20.6,12.7,63.3,0,0,0,rain,27.5,27.5,0.9,62.9,1022.3,73.3,10.2,10,Partly cloudy throughout the day.
2023-01-11,26.1,15.6,20.7,26.1,15.6,20.7,12.5,62,0,0,0,rain,37.6,37.6,1.6,62.5,1021.6,60.3,10.3,10,Partly cloudy throughout the day.
2023-01-12,26.9,15.9,21.1,26.5,15.9,21.1,11.9,57.8,0,0,0,,32.8,32.8,0.6,63.6,1020,58,10.2,9,Partly cloudy throughout the day.
2023-01-13,27,14,20.8,26.3,14,20.8,10.4,55.8,0,0,0,,27.5,27.5,0.4,62.7,1020.3,56.9,10.8,10,Clearing in the afternoon.
2023-01-14,26,15.7,20.7,26,15.7,20.7,8.5,47.8,0,0,0,,35.4,35.4,0.6,68.9,1021.1,46.7,10.3,10,Clearing in the afternoon.
2023-01-15,26.1,14,20.4,26.1,14,20.4,8.9,49.6,0,0,0,,36.2,36.2,0,57.2,1020.4,22.9,10.3,10,Partly cloudy throughout the day.
2023-01-16,27,14,20.6,26.3,14,20.5,9.2,50.4,0,0,0,,36.2,36.2,0,65.7,1020.2,28.5,10.3,10,Partly cloudy throughout the day.
2023-01-17,26.1,13.9,20.3,26.1,13.9,20.3,10.5,57.3,0,0,0,,35.2,35.2,0.9,62.1,1020.7,57.9,10.3,8,Partly cloudy throughout the day.
2023-01-18,29,13,21.9,27.4,13,21.5,6.2,42.8,0,0,0,,34.8,34.8,0.6,56.3,1020.6,27.7,10.3,10,Partly cloudy throughout the day.
2023-01-19,28.1,15.1,22.1,26.8,15.1,22,7.1,40.5,0,0,0,,21.9,21.9,0.9,62.2,1019.8,38.9,10.3,10,Partly cloudy throughout the day.
2023-01-20,28.1,16,21.9,27.1,16,21.8,10.9,52.5,0,0,0,,32.4,32.4,0.6,63.3,1019.6,31.8,10.4,10,Partly cloudy throughout the day.
2023-01-21,27.1,15,21.5,26.5,15,21.5,10.1,51.7,0,0,0,,37.1,37.1,0,63,1019.1,26.1,10.2,10,Partly cloudy throughout the day.
2023-01-22,25.1,13.8,20,25.1,13.8,20,9.6,52.6,0,0,0,,32.4,32.4,0,60.1,1019.7,70.2,10.2,10,Partly cloudy throughout the day.
2023-01-23,26,16.9,20.7,26,16.9,20.7,11.9,58.7,0,0,0,rain,28.7,28.7,0.9,65.8,1018.9,75.6,10.2,9,Partly cloudy throughout the day.
2023-01-24,26.1,13.8,20.3,26.1,13.8,20.3,11.6,61.2,0,0,0,,27.5,27.5,0,62.6,1020.2,79.4,10.7,9,Partly cloudy throughout the day.
