datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,windspeedmax,windspeedmin,winddir,sealevelpressure,cloudcover,visibility
1/1/2023,26,14.8,20.1,10.6,56.7,0,36.2,36.2,0.5,75.5,1022.6,51.6,10.3
1/2/2023,23,14.8,18.5,11.8,66.2,0,36.5,36.5,1.3,75.5,1022.2,66.4,10.3
1/3/2023,22.1,16,18.5,14,76.1,0,38.3,38.3,1.7,73,1022.5,75.1,10
1/4/2023,21.1,16,17.9,14.2,80.1,0,27.7,27.7,1.1,68.3,1022.4,83.6,10.1
1/5/2023,24,14.9,18.6,11.3,65.5,0,31.7,31.7,1.1,54.1,1022,70.8,10.1
1/6/2023,26.1,12,20.2,8.6,50.2,0,27.5,27.5,0,67.7,1022.1,23.5,10.3
1/7/2023,26.1,14,20.4,10,54.2,0,37.6,37.6,0.2,61.4,1021.4,24.6,10.3
1/8/2023,27,15.9,20.9,12.2,59.2,0,32.8,32.8,0.6,61.2,1020.7,46.6,10.4
1/9/2023,26.1,16.1,20.5,13.4,66.4,0,29.5,29.5,1.1,61.9,1021.5,71.1,10.3
1/10/2023,25,16.1,20.6,12.7,63.3,0,27.5,27.5,0.9,62.9,1022.3,73.3,10.2
1/11/2023,26.1,15.6,20.7,12.5,62,0,37.6,37.6,1.6,62.5,1021.6,60.3,10.3
1/12/2023,26.9,15.9,21.1,11.9,57.8,0,32.8,32.8,0.6,63.6,1020,58,10.2
1/13/2023,27,14,20.8,10.4,55.8,0,27.5,27.5,0.4,62.7,1020.3,56.9,10.8
1/14/2023,26,15.7,20.7,8.5,47.8,0,35.4,35.4,0.6,68.9,1021.1,46.7,10.3
1/15/2023,26.1,14,20.4,8.9,49.6,0,36.2,36.2,0,57.2,1020.4,22.9,10.3
1/16/2023,27,14,20.6,9.2,50.4,0,36.2,36.2,0,65.7,1020.2,28.5,10.3
1/17/2023,26.1,13.9,20.3,10.5,57.3,0,35.2,35.2,0.9,62.1,1020.7,57.9,10.3
1/18/2023,29,13,21.9,6.2,42.8,0,34.8,34.8,0.6,56.3,1020.6,27.7,10.3
1/19/2023,28.1,15.1,22.1,7.1,40.5,0,21.9,21.9,0.9,62.2,1019.8,38.9,10.3
1/20/2023,28.1,16,21.9,10.9,52.5,0,32.4,32.4,0.6,63.3,1019.6,31.8,10.4
1/21/2023,27.1,15,21.5,10.1,51.7,0,37.1,37.1,0,63,1019.1,26.1,10.2
1/22/2023,25.1,13.8,20,9.6,52.6,0,32.4,32.4,0,60.1,1019.7,70.2,10.2
1/23/2023,26,16.9,20.7,11.9,58.7,0,28.7,28.7,0.9,65.8,1018.9,75.6,10.2
1/24/2023,26.1,13.8,20.3,11.6,61.2,0,27.5,27.5,0,62.6,1020.2,79.4,10.7
1/25/2023,28,15.9,21.7,9.4,48.7,0,32.4,32.4,1.1,64.6,1019.1,52.6,10.3
1/26/2023,29,14.8,21.7,6.8,43.8,0,32.8,32.8,0.4,57.7,1018.4,37,10.4
1/27/2023,26.3,14.8,21.5,8.7,45.2,0,33.1,33.1,0,72.9,1019.3,55.2,10.5
1/28/2023,27.2,12.6,20.9,8.7,49.3,0,34.7,34.7,0.6,70.6,1019.5,19,10.8
1/29/2023,28,14.8,21.2,7.7,45,0,35.8,35.8,0,70.5,1019.5,12.4,10.3
1/30/2023,28,12.9,21.3,8.3,46.2,0,33.5,33.5,0,67.2,1020.4,23.2,10.5
1/31/2023,28,15.6,21.8,9.3,48,0,26.9,26.9,1.5,65.3,1020.1,44.1,10.4
2/1/2023,30,16,23,9.8,49,0,33.5,33.5,0.9,85.4,1020.4,57.7,10.4
2/2/2023,29.9,19,23.6,9.3,45.1,0,25.9,25.9,8.5,66.7,1020.3,66.7,10.5
2/3/2023,29.1,13.9,22.7,4.8,39.4,0,36.5,36.5,0.6,58.5,1021,22.8,10.3
2/4/2023,30,14.1,22.8,5.9,38.5,0,36.5,36.5,0.6,70.1,1020.1,17.2,10.4
2/5/2023,30,16.9,23.1,8,43.7,0,22.5,22.5,0.4,70.8,1019.3,40.4,10.3
2/6/2023,30,14.9,22.7,5.9,40.3,0,31.4,31.4,0,59.3,1019.1,35.6,10.3
2/7/2023,29,15,22.2,10,49.4,0,33,33,0,70,1019.6,37.4,10.3
2/8/2023,28.1,16,22.1,11.5,52.9,0,27.9,27.9,0.4,54.6,1020.8,42.2,10.2
2/9/2023,28.1,16,22,10.9,51.6,0,35.8,35.8,0.6,54.9,1021.4,38.2,10.2
2/10/2023,29.1,14.8,22.6,8,44.7,0,36,36,0,62.9,1021.4,23,10.3
2/11/2023,28.1,16,22.1,9.3,46.8,0,45.2,45.2,0.4,61.8,1021.9,55.3,10.3
2/12/2023,28,15,21.7,7.9,44.3,0,35.5,35.5,0,61.9,1021.7,34.2,10.3
2/13/2023,28.1,13.1,21.4,5.3,39.1,0,35.8,35.8,0.2,65.4,1021.1,22.5,10.3
